student_id,grade,parent_guardian_first_name,parent_guardian_last_name,address_1,address_2,county,city,state,zip_code,first_name,middle_name,last_name,preferred_name,alias_names,phone_number,email,date_of_birth,race,ethnicity,gender,insurance_group_number,insurance_policy_holder,insurance_primary_member_date_of_birth,insurance_primary_member_first_name,insurance_primary_member_last_name,insurance_secondary_company,insurance_secondary_group_number,insurance_secondary_member_date_of_birth,insurance_secondary_member_first_name,insurance_secondary_member_last_name,insurance_secondary_policy_holder,insurance_status,school_name,school_address_1,school_address_2,school_county,school_city,school_state,school_zip_code
11,9,Billy,Holland,965 Jones River,,Shelby County,Shelbyville,IN,21979,Ashley,Anthony,Jacobs,Patricia,Timothy,271-684-5263x0135,danielquinn@hotmail.com,2007-03-20,White,Hispanic,Other,G4738815,Bruce Briggs,1978-03-27,Kimberly,Clark,Krause-Fox,S9103809,1965-09-02,Tiffany,Gonzalez,Dawn Webb,True,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
12,2,Daniel,Fischer,51664 Eduardo Avenue,,Shelby County,Shelbyville,IN,38566,Amber,Dustin,Nguyen,Amanda,Jorge,(061)435-6434x27699,coledylan@hotmail.com,2015-10-22,Native American,Hispanic,Other,G2457037,Kathleen Hardy,1973-01-21,Kristie,Barnes,Butler-White,S4227375,1980-07-04,Lindsay,Foster,John Wolf,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
13,8,Elizabeth,Medina,09771 Hunter Spring,,Shelby County,Shelbyville,IN,20013,Christopher,Lori,Byrd,Francis,Kimberly,112-939-8868,toddanderson@gomez.biz,2007-05-05,White,Hispanic,Female,G8574012,Susan Hunter,1969-12-22,Todd,Griffin,"Vargas, Rosales and Gonzalez",S5552387,1987-01-13,Marcus,Chandler,Heather Fisher,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
14,5,Amanda,Foster,954 Hicks Lane,,Shelby County,Shelbyville,IN,06644,Melissa,Stacy,Lee,Jodi,David,+1-852-855-1979x812,xhughes@mcpherson-baxter.info,2007-01-24,Asian,Hispanic,Female,G5838652,Billy Schmidt,1986-06-06,Christina,Carlson,"Meyer, Parker and Butler",S0044226,1975-12-25,Timothy,Zhang,Steven Garcia,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
15,7,Isaac,Dixon,451 Weber Station Suite 549,,Shelby County,Shelbyville,IN,05331,Patrick,Mark,Howe,Nicole,Kristen,+1-264-980-6729x7483,shane47@hotmail.com,2015-08-16,Hispanic or Latino,Non-Hispanic,Female,G1327135,Martha Waters,1978-08-23,Mindy,Harris,"Webb, Moore and Stevenson",S0550984,1970-04-27,Samuel,Delgado,Whitney Duran,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
16,12,Patrick,Bryant,5070 Angela Terrace Suite 656,,Shelby County,Shelbyville,IN,80201,Jennifer,Carrie,Gray,Kimberly,Beth,(878)286-3729x2962,qcastillo@blevins.net,2012-04-27,Asian,Hispanic,Male,G5353285,Michael Armstrong,1966-10-21,Robyn,Robbins,Parker-Castro,S6425909,1980-12-09,Lydia,Smith,Debra Green,True,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
17,1,Jonathan,James,84180 Cruz Knoll,,Shelby County,Shelbyville,IN,07644,Mary,Anthony,Myers,Courtney,Misty,907-289-4295,robinbender@gmail.com,2009-06-13,Hispanic or Latino,Hispanic,Female,G5203594,Steven Bright,1978-05-04,James,Hamilton,Moyer-Johnson,S6781587,1984-06-07,William,Anderson,Phillip Johnson,True,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
18,3,Abigail,Powers,75859 Jessica Cliffs Apt. 859,,Shelby County,Shelbyville,IN,40896,Brandon,Juan,Adams,Dan,Frances,001-714-480-5152,rdawson@hughes.com,2008-10-19,White,Non-Hispanic,Female,G4607841,Tiffany Lopez,1976-04-14,Robert,Turner,"Martin, Sanders and Gomez",S6955320,1991-04-16,Lori,Black,Jennifer Page,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
19,4,Laurie,Richardson,929 Singleton Walks Suite 230,,Shelby County,Shelbyville,IN,36870,Paige,Yvette,Lopez,Vernon,Harold,133.378.5416x541,etate@yahoo.com,2014-05-17,White,Non-Hispanic,Other,G4557489,Adrian Jordan,1974-04-07,Gregory,Hernandez,"Brewer, Molina and Powell",S9100757,1965-08-18,Cassandra,Yang,Laura Harris,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
20,7,Carrie,Walker,45073 Molly Freeway,,Shelby County,Shelbyville,IN,47783,James,Michelle,Nelson,Nicole,Michael,(662)726-3640x10656,mcdanielrebecca@barnes.com,2010-06-05,White,Hispanic,Male,G6797973,Austin Berry,1966-04-27,Christina,Greene,Barnes-King,S2093275,1966-02-10,Nancy,Nguyen,James Delacruz,False,Shelbyville High,83751 Deanna Junction Apt. 640,,Shelby County,Shelbyville,IN,45255
21,8,Blake,Matthews,2765 Erika Station Suite 981,,Capital County,Capital City,CA,28489,Anthony,Heather,Garcia,Steven,Jon,+1-062-452-2545,mollymurphy@stewart.com,2014-10-05,Native American,Non-Hispanic,Other,G0277279,Sarah Garcia,1974-11-25,Calvin,Kennedy,"Rodriguez, Wilkerson and Gibson",S8015254,1977-09-01,Lisa,Hammond,Patrick Miller,False,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
22,7,Dylan,Salazar,37276 Serrano Village Apt. 600,,Capital County,Capital City,CA,19113,Kimberly,Shawn,Allison,Mary,William,+1-639-803-2210,elizabethharris@yahoo.com,2007-10-01,Native American,Hispanic,Other,G6964401,Michelle Phillips,1974-10-31,Timothy,Clark,Olson Ltd,S9545023,1991-09-26,Eugene,Hall,Natalie Whitehead,True,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
23,10,Emily,Ramirez,0947 Laura Roads Suite 052,,Capital County,Capital City,CA,51959,Anthony,Daniel,Goodwin,Ashley,Scott,844.665.1958x95751,jgray@johnson-meyers.biz,2014-04-23,Hispanic or Latino,Hispanic,Other,G7517409,Jacqueline Chang,1980-04-30,Kimberly,Collins,"Davis, Hudson and Mills",S3377560,1979-10-21,Troy,Johnson,Ashley Middleton,False,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
24,4,Joanna,Alexander,6366 Smith Terrace Suite 565,,Capital County,Capital City,CA,08637,Laurie,Alexa,Flynn,Lynn,Michael,+1-541-877-5305,brianjones@gmail.com,2009-08-19,Hispanic or Latino,Non-Hispanic,Other,G9026976,Michael Coleman,1990-06-06,Edward,Walsh,Clements-Ross,S3711980,1993-05-20,Jeremy,Martinez,Andrea Dunn,False,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
25,12,Debra,Bailey,0873 Haynes Grove,,Capital County,Capital City,CA,99560,Laura,Angela,Perkins,Jocelyn,Latoya,035.460.4360x883,alexanderrodriguez@gregory.com,2011-05-06,White,Non-Hispanic,Male,G4319973,Melissa Carter,1994-05-20,David,Tapia,"Kemp, Anthony and Schroeder",S1502498,1995-02-11,Devin,Huerta,Andrew Hill,True,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
26,5,Derrick,Gray,213 Johnny Cape Apt. 982,,Capital County,Capital City,CA,45812,Jennifer,Melanie,Dixon,Jennifer,Bethany,790-777-7446x5997,james31@bernard-daniel.com,2018-12-09,Hispanic or Latino,Non-Hispanic,Other,G2444055,William Montgomery,1965-04-13,Jeffery,Martinez,Watts Group,S6654998,1994-07-24,Mary,Jones,Kayla Moore,False,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
27,9,Wayne,Cruz,96964 Angela Spur Suite 353,,Capital County,Capital City,CA,48467,Darrell,Tammy,Murphy,Jennifer,Breanna,765.294.6711x51603,connie38@anderson.com,2008-07-23,Hispanic or Latino,Non-Hispanic,Other,G8986178,Jonathan Smith,1977-01-11,Stacey,Wilson,"Morgan, Schmidt and Allen",S9776755,1979-07-20,Anna,Drake,Kristine Thomas,False,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
28,2,Rebecca,Huffman,9719 Calhoun Creek,,Capital County,Capital City,CA,48479,Christine,Kimberly,Carr,Timothy,Jessica,083-376-5600,raven25@mclaughlin.com,2014-03-04,White,Non-Hispanic,Other,G0035660,Michael Weaver,1982-09-24,Cody,May,"Flores, Weaver and Patterson",S6152792,1973-11-26,Donna,Hamilton,Gregory Nixon,True,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
29,6,Ricardo,Lester,269 Natalie Gardens,,Capital County,Capital City,CA,54157,Joseph,Joshua,Baker,Linda,Lauren,219-733-7901,danielwilliamson@frank.org,2016-08-11,Native American,Hispanic,Female,G8790225,Heidi Cherry,1993-12-21,Adriana,Wise,"Johnson, Harmon and Moore",S3201331,1991-01-03,Christopher,Woodward,Gabriel Hampton DDS,True,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
30,4,Richard,Simpson,665 Crystal Parks,,Capital County,Capital City,CA,49048,Sherry,Jesse,Scott,Cameron,Deborah,030-222-6994x873,reyesaudrey@villanueva-howard.com,2012-07-11,Black or African American,Non-Hispanic,Female,G6363551,James Wyatt,1967-10-03,Gina,Hamilton,Oliver and Sons,S4935487,1967-05-31,Scott,Warren,Lori Kelly,True,Capital City Academy,5514 Zamora Islands,,Capital County,Capital City,CA,10177
